instance_id,content,liwc.anger
,,
456,"Hi Hello! hello\ Happy Friday booster done this week!! No booster yet. I&#x2019;m a Pfizer. Me too Howdy! Hello everyone one! Hello! Haven&#x2019;t gotten it yet, I mean. :) booster next week! you can get a pfizer booster.  That's what mine is Happy Friday! Is there a moderna booster? or rather was but still limited based on age and other conditions Is the booster available for everyone? Or is it just pfizer? Hi Hello good people! I just hope the booster isn't to expensive. hi i choose 4000 though not too sure Do we discuss our answers? New to this. I will get the booster shot I chose 1000 14, isn't it free of charge? 2400 was my chose Who knows the correct answer to the question? Not me No clue It is free Yes I feel like they have tracer in the vaccine I don't think there's a lot of severe reactions I hope the number is lower, haha. But maybe 200 something? I guessed 960 I don't think it's more than 500 i think it&#x2019;s low too Average answer was 40 so i repick 50 Eek. I think I&#x2019;m too low. I saw that it&#x2019;s about 1% its hard to answer.  It is low but it sort of depends on how they categorize reactions. Wow. 1%? Tracer is something they follow and have acces to u I was thinking &#x1F914; Why is it always the same question you already have a tracer....your phone.  They don't need to put anything in a vaccine to trace you.\ You could of been tracked before covid was ever a think Exactly, 28! thing* First time here. The same question was asked last time? Where is the game Yes they just give us chances to change Haha, good point 28. Ur right phone tracer we're in the game already I completely trust the vaccine personally I do somewhat I believe it&#x2019;s the better then other options I don&#x2019;t believe in natural immunity for something like this I'm mad I didn't get paid for the vaccine Jobs were offering stuff like that Raven winning the super bowl",0.27
,,
467,"Hello Hello Hi Hi Hi Hi Hello hi hello Hello Howdee Hello Yes. yes Yes yes yes No Yep. Booster too Nope how bad? Sore arm No side effects on neither shot for me Hi Hello see a doctor I had a side effect I got a very terrible cold yes I made a dr appointment to ask about the booster just seek medical help asap Hi hello It was good on me My grand children are not allowed to come over until they have been vaccinated. Yeah Every member of my family is vaccinated good Hey, how long do these sessions last? I don't think so I have AIDS so o was grateful for the booster. No side effects from the booster or the 2 Moderna shots hello Is she vaccinated after or before treatment? Alright thanks for the information",0
,,
479,Hii Hello Yes but I haven&#x2019;t gotten it yet I got the vaccine already what about you Im concerned about the long term effects yes I do I got the vaccine too Hello Hi me too but I&#x2019;m gonna have to get it eventually So gonna just bite the bullet and get it over with Do you notice any side effects ? Really What side effects does your friend have I didn't notice any side effects Health effects years later Thanks for the heads Wow.....has she seek medical attention? I would have gotten the Johnson one if not for the blood clots side effect risk Hi That sucks Hi Yeahn That makes me even more nervous. No I don't Gone Champion i get you But it seems things are going back to normal Winner I agree I agree too I feel like we will get herd immunity soon i want as many  to get vaccinated as possible so I don&#x2019;t have to lol me too! lol Have u decided to get the vaccine not yet I did Kids and aged needs it more Squid I have I&#x2019;m gonna get it but taking my time to see what happen Usually vaccines take years to be FDA approved these seemed rushed so Im waiting i also agree with you. its kind of hard to understand lol,0.43
,,
481,Hey Hello! Yes Not yet hey was that the first question my answer 200 yours? No booster tho Good Afternoon glad I said 10 lol 1000 Hello gamers Everyone I know who got the booster had zero side effects I put 10 1500 maybe 5000 Cuz the chances should be really low We got this number 3 lol I put 10 also Woot woot Wait do we get paid based on how close our answer is not getting the vaccine hello Why is there a booster if the shot sopose to be good i used 5000 I put in 9000 hey what's the question about how many severe reactions occur for every 10000 the first question Had Covid now have antibodies have you taken the vaccine? We don't know how long the antibodies remain. I was tested ofcourse anybody knows about number one Hmm the average is 2k Yeah so I put around 1500 Oh Anyone do this before i put 1500 too 3k The average I choosed was 3000 First time how does this work? ? wondering if it&#x2019;s a hoax Not sure if I got the answer I feel like most of you are shills as in fake interaction to sway my answer how much can we earn on this muximum? I am hoping it is for real Me to $5 lol i too its my first time $50 How long does it take to get your money great! to earn $50 you must get the rightanswer anybody who have earned $50 before? It keep popping up the same questions to be answered Wait can u earn like $40? Or perhaps $25? Anaphylaxis to the mRNA COVID-19 vaccines is currently estimated to occur in 2.5 to 11.1 cases i have earned $5 before hope to get $50 this time per 1 mil How long does the game take The closer you are to the correct answer the more you earn. That&#x2019;s what I was wondering do we receive any link to survey after the game is over? Per 10k,0
,,
482,"Hi Howdy yes Hello And yes Hey y&#x2019;all Hello I&#x2019;m vaccinated Facts I'm vaccinated All 3 yes, no booster yet That&#x2019;s what&#x2019;s up No booster here Yep, booster too Hello from Louisville, KY I have the moderna Hi Hello Hi hello Sheeesh I am from los angeles What's answer number 1 Why worried? JJ gave me allergic reaction, face swoll up What&#x2019;s up I&#x2019;ve heard of more reactions to the booster There&#x2019;s a right answer ? Yep Not worrief No allergy here My booster was less symptoms than the 2nd. Not worried about vax Ooh I got super sick from the 2nd and booster bit I&#x2019;m sure the few days or soreness is better than Covid. Where is everyine from? Everyone that I know that got the booster had similar effects as the second shot Wow everyone Az Houston Los angeles Auburn, AL Jersey Shore no side effects here Wa Ny Long Island ny Denver I read somewhere that 11 per million get anaphylaxis, so per 10 mil I put my answer as 110 Yah, saw about 110 per 10 million too I think game is asking same quedtions more than once? The queation is per 10,000 Not here I put 3 Dang thousands lol Eh, ahh well I had 100 but moved it up. It's low for sure Google said 20 lol game is confusing Yeah weird experiment I can revise towards 20 then I said 50 How do you make the money here? They will send you PayPal in about a day My question too Nice Really confusing For your participation or correct answers? Last time I tried to do this i didnt even get any questions tho For participation, I believe I moved up to 200 rhe study is probally looking at how we influence each other&#x2019;s answers in the chat No, the question is for, 10 million, so the answer i saw is 110 But we&#x2019;re all over the place so lol idk Oh ok i was wrong It is how many per 10 million I put 110 Or 11eople out of every 1 million What's the answer Does this go on for a whole hour??? I have no idea what&#x2019;s going on but I like PayPal deposits. Lol 110 sounds about right No Y&#x2019;all know why kosher salt is called kosher? Lol Come on guys what's the answer How long No why 7 is my guess user 30 put 110 I think its a few trials Everyone has to finish. Let's get on it quickly It&#x2019;s used to kosher meat They are likely seeing how we converge on an answer I don't think no one knows the answer only 30 players, not many Answer is 110-120 between I&#x2019;ve never done this is it a waste of time?",0
,,
483,"Hello hi how are you? Hey. Here in so cal Hi everyone Hi everyone. Yes Yes fully yep triple doses not yet XD Yep, got mine after looking into the science and stats of it Not eligible yet not yet, but planned No Yes booster Waiting for booster co-workers getting boosters and getting insanely sick :( Anyone catch Covid How did everyone feel after the 3rd booster? Doing booster next week I felt fine. No issues Vaccinated and boostered here too booster in 2 weeks Did not catch Covid but family members did before the vaccine It's not technically getting sick, just your body creating antibodies to fight off stuff, and much safer than the actual virus No covid and no vaccine for me Yes but as an agoraphobe not sure if it helped anyone from PNW? :D Was just at the Oregon coast From DC area i haven't got the vaccine yet nor covid Hi Hi Hi I got my 3rd dose/booster yesterday!! User 11 - did you try Sea Level bakery? Anyone in Va I didn&#x2019;t. Im from NOVA Your shop? User 11, missed out, need to come back :) Def will in Hampton Roads looking for booster (y) This is taking a long time Booster shot will be available once the 5-12 age group get vaccination I am concerned about getting a little sick from booster, but will definitely not stop me from taking Hello, i hope everyone is good Are we here for the chat or for the questions 2000 You can talk about your concerns here. I looked up a lot of science about it, so I can probably address some of them def chat :D I know someone who just got his his third booster and only had arm soreness. Said the third one was better than the first two. Suggest how you respond can be unpredictable Cannon beach!  I was in Oceanside I have family losing jobs over it, the mandate isn't doing us any favors My booster only caused arm soreness. I just got my 8 y/o her first dose and I feel much better about her returning to school after holidays. I work at a hospital in I had no problem whatsoever with whisper with either of the 1st 2 vaccines scenes. But getting them was organized by my boss and now I'm not sure how to get a booster My mom and I both got it because we both have health complications. Qbut we chose to get it, I dont think usa government should force anyone to get it. Texas and there&#x2019;s a third wave predicted after Christmas It shouldn't since the vaccine only gets your antibodies going. The actual virus is more unpredictable because it could affect areas of the brain. I can't wait for it to be approved for 6mo-4 years old so life can be somewhat normal again. I had the 3rd one yesterday and my upper arm is pretty swollen and sore and i have had a slight headache all day, but not sure the headache is from the booster. Hoping that means my immunities are building! I got all three of my kids the vaccine Yeah, and we don't yet know the long term effects of the virus, whereas we have unprecedented amounts of data about the vaccines. I wish everyone would get vaccinated so Covid can be mitigated my sons teacher has long haul Covid. Can&#x2019;t smell or taste after a year User 16, I had a terrible headache for a week after first dose, only sore arm on second so curious if booster will give me a headache again. Not that it would stop me of course. kids are fine. No reaction My daughter did great! Sore arm for two days, zero other side effects. She&#x2019;s 8. I don't have kids, but I would definitely have them get fully vaccinated if I did I bought them a comic book about Jonas Salk. My 12 yo got his first shot To explain User24, i didn't seem to have any reaction to the first 2. The lady who gave me the shot said it's a half dose and most reactions seem to be similar to the first. No one I know had any negative reaction apart from the 1 person who had had covid. He got really sick. Seeing the devastating effects in the hospital made the decision an absolute no brained for me personally. *brained Of you had taken the others no need to get others...unless necessar6 Necessary*",0.13
,,
492,"Hiii Squid game! Woohoo! Hi Hi Hi Hello Hi helloooo Hi yes Have you? Hi Yes Hello I am vaccinated already Going to get the booster soon Yes Yes I have Yes Yea me too Vaccines are great Hi hello I hope it doesn't have a side effect. Same why I don't want COVID-19 The sun has side effects I signed up for one vaccine not one every 6 months Getting booster soon Vaccines are the futures safety for everyone Hi They need to get ann old school tech vaccine out of they intend to get more people vaccinated. Oh no :( i wrote 5000 anyone else? JnJ is old school tech Wow,two pregnancy loss Type what 100 They need to get Novavax authorized for emergency use. 1 55? Wow Couldn't imagine that Old school tech vaccine more effective than any currently authorized None for me 6000 400 1500 Most everyone hesitant to take the vaccine is so bc it's new tech. Hi It's not that new, mRNAs have been researched since the 80s Get novavax in the US &#x1F1FA;&#x1F1F8; People fear side effects Vacation been around for awhile Just sucks getting *vaccines They just started investigating long term effects of mrna Mad rat People are nowadays hesitating to get vaccinated Exactly, that's why no one trusts them.  Research has showed they're (mrna) dangerous. Wish we had 10 years of data showing no fertility or Heath impact 800 Getting vaccinated is the best thing to do",0.8
,,
496,"Hello Hi My first game that I remembered my first time here lol Hey Welcome everyone Hello Hey Hello everyone Welcome Good first time for me This is my first time here Welcome everyone Nope Hello guys Hello Hello here in ohio where you all at? Has anyone got the COVID-19 shot? Hi everyone How many have got vaciinnated here I did No Good morning welcome everyone I got my shot I&#x2019;m in GA That's great I&#x2019;m getting my shot today Igot JJvaccine last month as first dose i haven't gotten my shot yet Why Vaccine is best eve Why haven't you? I haven't gotten my shot yet I hear Moderna is the best one to get Hey So I heard User7 please get vaccine Hi I&#x2019;m not vaxxed either but I take all the precautions to protect myself and others i don't want to but when i am thoroughly convinced, i might get it. Wow I got maderma dont trust jj 5000 lol All in all mask is the best way to prevent That's bad I&#x2019;m definitely unvaccinated but protecting myself and others. I will make the decision within the next year Yes, mask up I always use my mask No my child wears his mask and just got covid 19 Mask always Social distance also Hello Hi Social distance matters alot also Welcome Anyone gotten any side effects from the vaccine wash hands often as well Mask isn't 100% guarantee Yes, social distance as well Mask is 70% safe for me No my child is 3 they don&#x2019;t have a vaccine for the younger ones yet But wearing a mask still reduces your risk and the risk for others as well Mask cant hurt either Hi Not really worried too much about side effects Exactly! The mask does more good than harm Not all people are affected by the vaccine Miscarriage? That's bad I am protecting myself and family by masking up, social distance, whole family hygienic routine up to par Y question repeated Great Hello Hi Hello Hello I think they repeat the question to see if you change your mind after talking to people Ever forget gus that you can still get the disease even if you are vaccinated I'm always afraid of the side effects of the covid 19 vaccine What is the average number of people that reach yo the vaccine? Why repeating the questions Side effects are less Yea I&#x2019;m not exactly sure how the game goes Me either I think they&#x2019;re repeating to see how we influence each other&#x2019;s answers Vaccine lower chances of contracting covid 4th dose",0
,,
497,"Yep Hi everyone Hello Hello How are you all doing Welcome Same to you A very happy New year to you Hi Thanks, you too Fuck you Hello User 30 Hi Hello 22 Hola everyone Hola user 6 Am I user 30??? Same to you Hello user 27 Great question tonight Oi Lol Happy Oh no, I'm 29 just like MY AGE!! Vaccine Happy new year Who else has gotten the vaccine here? Hi there Not getting vaccinated seems weird Happy new year You got that right Hello I hope everyone is having a great day Yeah Until I see exceptional results You Hey Happy new year folks Hello everyone is this app legit & really pay ? Hello everyone Same user 5 Hi 27 Hi Hi and welcome Hello everyone Hope yall are well Yo Omicron is a milder version of COVID-19 Yh Omicron vaccine comes out in march I'm sure getting the vaccine soon That's great I am vaccinated , I haven&#x2019;t got the booster though where are you guys from You should get your booster user 15 Yeah legit af LOUISVILLE, KENTUCKY!!!! I had covid when it first begin Yeah Los angeles cool New york Maryland I&#x2019;m from Florida It might not have a side effect on you user 25 Nice, got an aunt there 16;NY??? OOOOH, 15, FL??? Yayyy 22, LA??? COME GET ME!!! LOL Stay safe guys I think the people that are not vaccinated may be afraid of the side effects True Yes, sure I didn&#x2019;t get any side effects , but that is probably because I already had COVID Yes A friend who got Vaccinated recently got sick for a week Wow Yes, my sister couldn't use her left arm properly for like 3days Vaccine Hello Oh wow 16 Yes 9 Hi Hello there Welcome Anyone experience heart palpitations after being infected with COVID ? Where you from User 21, my sister experienced the same thing as you No I didn't experience that 15 Wow",0.3
,,
498,Hi! Hello Hi How did it go? Hi Hi Hello y'all Hello What was your response to the question? Hello I think I got the answer wrong What was the correct answer? What is the right answer? I said 8000 Fuck you &#x1F602;why the violence Hi Daisi how far I also wanted to ask&#x1F605; No violence Hm fuck you Fuck you Adewumi Who are these ones? What is going on guys? I wan marry I need olosho What does olosho mean? What's happening here Drop your details.lets hook up? Hope y'all have gotten the vaccine? For vaccination Yes Hi,2.94
,,
501,"Hello Hi Hiii Hello ever I hope everyone does good today! *everyone It look great Hi @user 1....yes I'm Hello Hello How are you doing today It looks cool Any covid patient? Yap Okay Its good to You gotta get the vaccine Hello For their safety that true It makes you better? I would wait and see It's best you take the vaccine Hello Sure I have True very true You gotta make your wife take it Yes And your kids? The effects of vaccine is what am afraid of I&#x2019;m more afraid of the effects of covid You afraid of  it too? there are people with bad reactions Yeah that&#x2019;s true thi Just like flu shots, vaccine are good Vaccine are good though Good True You remain safer Make you strong Vaccine is very new, the inventor of mRNA is worried about the use How effective is the vaccine against the virus? And be healthy he would know better than I would It's. Veeryy effective I already got vaccinated cause it's compulsory where I work great These questions are easy to answer Thank goodness Yeah very easy I just hope I qualify Yes it was Hello I don't even think the vaccine under goes a real clinical trials Nice work participate &#x1F44D;&#x1F600; No one knows Hope we get qualified for the next part Damn we still waiting Gotta make you feel good Last part, no other part We will know the truth in 100 years or so 100years lol That&#x2019;s too far men Like the end of the world Exactly we all can only guess yrd, the whole story too yes I'm tired We are safe Hello i hope we are Don&#x2019;t be tired You gotta keep on Never loose hope Always",0.33
,,
502,"Hi Hello Hlo Hlo How are you doing all of ya Sure I have Hi Same here You shouldn't be worried Who is here please? The vaccine is long term effect Okay Hello I think it is save to take the vaccine or what do you think? Hy guys Hello The vaccine is actually safe Mozirobliss It's safe Princejoe So sorry about your loss ma'am , but i don't think you should blame the vaacin Yes ,it safer for me It&#x2019;s safer by me Its safer,im confident It the safiest though So sorry Segun,blaze... James here James how you doing I just hope gets over soon Yes it think so Calm down 21 Pls let just calm It vaccine is safe Oh okay, it'll be over soon. If there are no other ""variants"" Doing great How are you doing? Hopefully, it should, there's nothing we can do about it Hopefully it should be Do you all really understand this ?",0.62
,,
524,"Hello Hey guys Don't tell me I'm the only one here. Lol Hi user 30 Yes, anyone else Hi Hlo guys No Hello User 16 Hi No booster yet Hello Hello Hello 10 Have you gotten the vaccine I will get bit eventually Miscarriage? What??? Hello all Ugh.. So sorry Hello User 2 really miscarriage? Yes, I am sorry to hear Hope you all are vaccinated? I know of my cousin who couldn't use her arm well for like 2 days Did she take the booster? Yeah it's just a side effect. Whoops, sorry about that Hope you are all vaccinated? Nice Are you vaccinated @user1 Yeah hi Hey Has anyone gotten the booster here? Yes @user 3 Hi guys Welcome I'm fine Hello Hi Good to be here Welcome guys. Are you vaccinated? Have you got the vaccine Hi guys All is well Yes, sure Hello yah all Hello Hello User 2. Have you been vaccinated? Hi hi Hello User 6 Has anyone gotten the booster? Blurr!!! I don't think so Yes, hopefully @User 30 7im cool Hummm Hi All is well Yes, especially with the news all around Welcome everyone I'm good It's nice to be here Welcome User 20 It's Good Nice fellow Any other person getting vaccinated anytime soon? Thanks That's nice Getting vaccinated soon Almost everything is news. Lol That's right Take advice from the expert Everybody not the same but I had no allergic I love you all That's good Great @User2. I'm looking forward to it as well WELDONE Thanks for the positive reply Your health is more important Alright That's  good @user 3 Yes, your health should be your no1 priority hi Kick up Vaccination is safe Exactly The weak are meant to be trampled upon Yes Hey @user 23 First level",0
,,
525,Hi Hello Yo I think so Why Really No I didn't I spy with my eye I have..I didn't say no Hello Hello world &#x1F30D; Hello world We doing programming here. Lol &#x1F602; feels weird Best way is to Detox Hello &#x1F923;&#x1F923;no programming What about vaccine Lol Few introduction here if y'all don't mind What's up I'm Jerry from Atlanta I'm really scared of the vaccine Hello Alert('hello world! ' ) Jeez That's scary AF Nice to meet you Athletes keep slumping or getting heart conditions my name is hope Gosh&#x1F927;&#x1F927; I'm mikaelson. Nice to meet you Detox your body at least twice a weak The vaccine is okay I didn't develop allergies With no explanation when they slump Fubu That's you Stop it boys Not everyone are strong enough to have the vaccine in their system That's f**cked yo Really fucked People finish submitting so we can proceed I fell sick for a week when I took my first shot. It feels like hell Damn. Really bad How long is the game? 7890 Till eternity You've been initiated into a cult Hahahahah Almost ending I didnt feel anything just injection pain All people submit your results 3 rounds not bad lol U afraid of needles? Weakling *submit* The strong are meant to bully the weak Hi guys The weak might outsmart sometimes The weak can't even pick their way to die Anyone from NY? The strong Squid game strong people fell&#x1F975; Hahahahajaj,1.2
,,
526,"Hii Anyone else have a difficult time trying to complete one of these the last few months? Hey yo! Hello Hi Hi there Hi everyone!! Have anybody been paid closer to 50$, if so what was your answer then @ user 11 yes Hi Hello... finally in Yes sure Hi here Hello It was difficult for me to get in the previous time so happy to be here Hello here Hi What's up guys This is my first time here , anyone got anything to share I'm new here and also happy to be here I didn't have any side effects whatsoever Hi Hello Well, I still plan to get vaccinated How are you all doing I think it is a good idea to be vaccinated Hmmmm What estimate do you think get serious side effects ??? I have a close friend who's vaccinated and she is doing fine Side effects of the vaccine Well, I think approximately 5000people I have been vaccinated and I am okay Hi That's much Hello Vaccine issues Yes..5000 is kind of small Wow! What did you think, User 13? Some people who has taken the vaccine complain of tiredness. I wonder What would you estimate, User 14? Yes the vaccine react differently on individuals Most severe cases are few anyways 7000 @ user 2 Vaccine react differently on people Ok I think the number of side effects is much lower i have been vaccinated and I did not have any reaction Yah but it seems the vaccines are not doing their job Same here, User 21 Hospitals in half of US states close to capacity as omicron continue to surge Yes, I've been vaccinated too. No reaction This is serious Did anyone felt strange after receiving the dose? Everyone is my family has taken the does and we are all good I have been vaccinated but I felt some allergic reaction during that time Perhaps Definitely no! User 11 @user 21, yes...I was weak for the whole day user 11 that is not true user 14 de you have any allergy before receiving the dose? @user 9 How sure you?",0
,,
